"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Coal-derived gas","26WIMPI-S20SRLXH","SARLUX","589","590","020092066","380","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Hard coal","26WIMPI-S20FOMSR","FIUMESANTO","534","534","020090064","380","23.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Hard coal","26WIMPI-S20SCLC8","SULCIS CENTR","432","432","020107016","220","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Hydro Pumped Storage","26WIMPI-T20TLRAJ","TALORO1","240","240","020091071","220","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Oil","26WIMPI-S20ASSMU","ASSEMINI","150","150","020092003","150","17.11.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0111491E","Buddusò e Alà dei Sardi","138","138","020090017","150","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S20UELSW","PARCO EOLICO DI ULASSAI","126","126","020091098","150","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S20CGNTW","CENTRALE GRIGHINE","99","99","020095028","220","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-01473496","Impianto eolico di Portoscuso","90","90","020111057","150","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Oil","26WIMPI-S20EONCO","AES OTTANA ENERGIA S.R.L","80","80","020091070","15","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0403629N","Bonorva","74","74","020090013","150","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Solar","26WIMPI-1150833M","MACCHIAREDDU CE","N/A","70","020092090","150","15.04.2022",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S20SDNLH","LITTIGHEDDU","65","65","020090065","150","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Solar","26WIMPI-1056130X","SFE s.r.l.","N/A","54","020092003","150","10.09.2020",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Fossil Oil","26WIMPI-S20ESNC8","POLIMERI EUROPA","8","52","020092066","22","31.12.2017",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S20T2LU7","TULA 2","51","51","020090075","150","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S20PLGHT","PLOAGHE NULVI","43","43","020090057","150","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Other","26WIMPI-0845770Y","CTEimpiantiSUD","43","42","020092066","22","31.12.2017",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Hydro Water Reservoir","26WIMPI-C20TLRA7","CUCCHINADORZA","41","41","020091071","150","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Hydro Run-of-river and poundage","26WIMPIENDOSA-1A","FLUMENDOSA 2","40","40","020091101","150","01.01.2020",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Biomass","26WIMPI-S20BSPWE","BIOPOWER SARDEGNA","36","36","20091070","15","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S20STMRI","SA TURRINA MANNA","33","33","020090075","150","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-0849030H","MEDIO CAMPIDANO","31","31","020111096","150","14.12.2018",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Solar","26WIMPI-1091847Q","Porto Torres FV 31","31","31","020090058","15","30.11.2019",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S20NTLV1","NULVI TERGU","30","30","020090046","150","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Wind Onshore","26WIMPI-S20IVVP0","Aggius 1 Bortigiadas Viddalba 1","30","30","020090082","150","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Hydro Run-of-river and poundage","26WIMPI-S20SMLIU","S.MIALI","29","29","020111022","20","31.12.2014",""
"BZN|IT-Sardinia / 01.01.2020 00:00 - 01.01.2021 00:00","Solar","26WIMPI-0412771J","Fiume Santo 2","29","29","020090058","150","31.12.2014",""
