"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Hard coal","26WIMPI-S16BSCRY","BRINDISI SUD CE","1815","1815","016074001","380","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S16EBNPL","ENIPOWER BRINDISI","1218","1218","016074001","380","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S16CDMNU","SORGENIA PUGLIA CENTRALE DI MODUGNO","810","810","016072027","380","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S14TERME","ENERGIA MOLISE","769","769","014070078","380","23.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Coal-derived gas","26WIMPI-0693236B","CET 2","450","450","016073027","220","30.11.2017",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S16CSSCB","RATINO","419","419","016071051","380","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S16CNDLL","CANDELA","401","401","016071009","380","23.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Coal-derived gas","26WIMPI-0420910Z","ILVA TARANTO CET3","400","400","016073027","220","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S14LTRNT","LARINO TG","248","248","014070083","150","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Biomass","26WIMPI-S16IGET0","IGES","146","146","016072030","150","17.11.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Water Reservoir","26WIMPI-S18CSTR3","CASTROCUCCO","83","83","017076092","150","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Solar","26WIMPI-20050836","Vega_","79","79","016071058","150","22.11.2019",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0606151L","Gravina NE","72","72","016072023","150","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Oil","26WIMPI-S16ETNPN","ENIPOWER TARANTO","66","66","016073027","150","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0436939C","Deliceto Eolico 2","66","66","016071022","150","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Biomass","26WIMPI-S17TCNPA","CENTRALE TERMOELETTRICA","64","64","017077020","15","17.11.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Solar","26WIMPI-10547804","San Severo Antonacci","63","63","016071051","150","18.12.2019",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-S16ASSL3","ASCOLI SATRIANO","62","62","016071005","150","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0681821G","Wind Farm Melfi2","60","60","017076048","150","23.07.2016",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-04195063","Eolico Tursi e Colobraro","60","60","017077029","150","11.05.2017",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-01325337","SAN MARTINO IN PENSILIS","58","58","014070069","150","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-01114964","CASTELLANETA","56","56","016073003","150","31.12.2014",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-07655506","Tricarico C&C","54","54","017077028","150","09.06.2017",""
"BZN|IT-South / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0373145A","Ferranti","54","54","016071036","150","31.12.2014",""
