"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Hard coal","26WIMPI-S12TRRLD","TORREVAL.NORD","1845","1865","012058032","380","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S12TRRVU","TORREVALDALIGA","1180","1180","012058032","380","17.11.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Pumped Storage","26WIMPI-S15PRSN8","PRESENZANO","1005","985","015061065","380","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S12MCNTU","MONTALTO C.LE","934","934","012056035","380","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S13CDGNT","GISSI","840","840","013069041","380","23.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-0300653B","CCGT APRILIA","787","787","012059001","380","23.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S15SCPRH","SPARANISE","760","760","015061089","380","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Pumped Storage","26WIMPI-S13S2GCF","S.GIACOMO","490","490","013067024","380","23.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S15STTV3","CENTRALE DI TEVEROLA","404","404","015061092","380","23.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S15NLPLI","NAPOLI L","400","400","015063049","220","23.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S10PTRFC","PIETRAFITTA","365","365","010054040","220","17.11.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPIVELINO-1Q","GALLETO","295","295","010055032","220","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMZI-S13SCNDR","CELANO","175","175","013066032","150","31.12.2016",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S10GLLT5","GALLETO","166","166","010055032","220","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Pumped Storage","26WIMPI-S13PRVVW","PROVVIDENZA","139","139","013066049","220","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S13BSSUZ","BUSSI","122","122","013068005","150","23.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S13CTTM2","CTE TAMARETE","115","115","013069058","150","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Pumped Storage","26WIMPI-S15CPRTZ","CAPRIATI","113","113","015061014","220","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S13MNTR3","MONTORIO","110","110","013067041","220","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S15SGTL1","POMIGLIANO D'ARCO","105","105","015063057","220","23.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Other","26WIMPI-S15TDARG","TERMOVALORIZZATORE DI ACERRA","99","99","15063001","220","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S10ETDS9","TERNI","95","95","010055032","132","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-S13MNTFR","MONTEFERRANTE","67","92","013069052","150","31.12.2014",""
