"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S09SBRBU","S.BARBARA","391","391","009051013","380","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S09RSLCK","ROSELECTRA","380","380","009049017","380","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S09RSNOR","ROSEN","325","325","009049017","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S09AGPP4","ENIPOWER LIVORNO","203","203","009049008","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Biomass","26WIMPI-S09IPYPC","ISE PIOMBINO CET3","181","181","009049012","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMYI-S11JSEIB","JESI","140","140","011042021","132","31.12.2016",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09VSLLJ","VALLE SECOLO","114","114","009050027","380","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S09CPLR3","PORCARI","102","102","009046026","132","23.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Water Reservoir","26WIMYI-S09TRRTB","TORRITE","67","67","009046009","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09FRNLN","FARINELLO","55","55","009050027","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09SRRZT","NUOVA SERRAZZANO","49","49","009050027","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPICIMARR-2O","VALCIMARRA FIASTRONE","43","43","011043006","132","07.10.2015",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Water Reservoir","26WIMPI-S12CTLOS","COTILIA","40","40","012057016","150","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09T4RVD","TRAVALE 4","39","39","009053017","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-0602190V","BAGNORE 4","39","39","009053022","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-N09SLMRD","NUOVA SAN MARTINO","39","39","009053027","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPI-S09STYPK","TEGLIA","32","32","009045014","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Fossil Gas","26WIMPI-S09NPMVB","NUOVO PIGNONE MS","31","31","009045010","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPI-S09GLLCT","GALLICANO","25","25","009046015","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPI-S09LPNNY","LA PENNA","25","25","009051016","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Water Reservoir","26WIMPI-S11CPDPZ","CAPODIPONTE","24","24","011044007","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPI-S09PDRND","PIAN DELLA ROCCA","23","23","009046004","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Other","26WIMPI-S09SLMNI","NUOVA SOLMINE","23","23","009053024","132","31.12.2017",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Wind Onshore","26WIMPI-0117801W","Fattoria Eolica di Santa Luce","23","23","009050034","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPI-S09VNCH0","VINCHIANA","22","22","009046017","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09LGRSB","LAGONI ROSSI","20","20","009050027","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09T3RVH","TRAVALE 3","20","20","009053017","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09P5NC5","PIANCASTAGNAIO 5","20","20","009052020","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Hydro Run-of-river and poundage","26WIMPI-S11VNMRS","VENAMARTELLO","20","20","011044001","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09LPRTA","LE PRATA","20","20","009050011","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09PNCNI","PIANCASTAGNAIO 3","20","20","009052020","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09B3GN8","BAGNORE 3","20","20","009053022","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09S2SST","SASSO 2","20","20","009050011","132","31.12.2014",""
"BZN|IT-Centre-North / 01.01.2022 00:00 - 01.01.2023 00:00","Geothermal","26WIMPI-S09PNCT6","PIANCASTAGNAIO 4","20","20","009052020","132","31.12.2014",""
