"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S18SCMR8","SIMERI CRICHI","885","885","018079133","380","23.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S18SCNDX","CENTRALE DI SCANDALE","821","821","018101024","380","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S18EADS0","ALTOMONTE","808","808","018078045","380","23.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S18RCZZW","RIZZICONI","760","760","018080065","380","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPIORTICA-13","TIMPAGRANDE","395","395","018101009","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-S18RTSN9","ROSSANO TE","224","224","018078157","380","17.11.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPIMUCONE-19","MUCONE 1S","N/A","169","018078003","150","20.12.2021",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-01161911","FOSSA DEL LUPO","98","98","018079089","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-S18PELCB","PE LE CANNELLA","96","96","018101013","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-S18SSNSD","SAN SOSTENE","80","80","018079116","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPISIMERI-15","MAGISANO","75","75","018079068","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-04586651","S.ANNA_012","64","64","018101013","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-01513370","PEPIZZA","60","60","018079069","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMYI-0158381B","MAIDA CORTALE","56","56","018079069","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-S18PESP1","PARCO EOLICO SERRA PELATA","54","54","018079065","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-S18MSLSC","MELISSA","50","50","018101025","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Biomass","26WIMPI-S18BSMSR","STRONGOLI","48","48","018101025","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-0222863M","Impianto eolico di Cutro - localitá Rosito","46","46","018101012","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S18P2LZD","PALAZZO 2","46","46","018078088","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-S18PEPR6","PITAGORA","46","46","018101013","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-S18PEMAC","PARCO EOLICO MARCO AURELIO SEVERINO","44","44","018078146","220","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-S18PEPDY","PARCO EOLICO PIANO DI CORDA","44","44","018079065","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-04539858","Parco eolico Andali","36","36","018079005","150","24.06.2019",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Biomass","26WIMPI-S18MRCR8","MERCURE","34","36","018078063","220","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-0034938F","PARCO EOLICO CAMAS DI MAIDA","34","34","018079069","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S18S2TRR","SATRIANO 2S","34","34","018079123","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-0544016K","Piano San Biagio","30","30","018101010","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Biomass","26WIMPI-S18CRTNF","CROTONE 2","28","28","018101010","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-0446302G","Bagaladi","28","28","018080053","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-S18GRFCM","GIRIFALCO-PEG","28","28","018079059","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-S18PESFL","P.E. SAN FRANCESCO","26","26","018101014","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-00419230","CROCIMINUTI-MALUCUTRAZZO-IRTO SCURO","26","26","018101007","150","23.12.2017",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Solar","26WIMPI-0225833G","Impianto fotovoltaico ¿San Floro Girifalco¿","24","24","018079108","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S18S1TRV","SATRIANO 1S","24","24","018079123","150","31.12.2014",""
"BZN|IT-Calabria / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-0685617W","Simeri Crichi eolico","23","23","018079133","150","21.04.2017",""
